D_020_003_005_009,韓妞夯一字涼鞋▼699
H_005_002_004_020,- 極緻呵護
H_005_002_004_010,- 輕巧穿褲型
H_005_002_004_011,- 日本頂級︱晚安褲
H_005_002_004_001,幫寶適
H_005_002_004_012,- 特級棉柔
H_005_002_004_013,- 超薄乾爽
H_005_002_004_016,- 學步寶寶
H_005_002_004_017,好奇
H_005_002_004_018,- 金好奇
H_005_002_004_019,- PH5.5
H_005_002_004_002,妙而舒
H_005_002_004_004,日本大王
H_005_002_004_003,更多品牌
H_005_002_009,濕紙巾
H_005_002_009_001,五月花
H_005_002_009_002,拭拭樂
H_005_002_009_005,滿意寶寶
H_005_002_009_004,Combi
H_005_002_009_006,Leshi樂適
H_005_002_009_009,優生濕巾
H_005_002_009_007,其他品牌
H_005_002_001,奶瓶奶嘴
H_005_002_001_011,玻璃奶瓶
H_005_002_001_012,PES奶瓶
H_005_002_001_013,PPSU奶瓶
H_005_002_001_002,其他類奶瓶．奶嘴
H_005_002_045,幼寢內著
H_005_002_045_007,枕
H_005_002_045_012,尿墊
H_005_002_045_009,紗布衣
H_005_002_045_004,安撫巾
H_005_002_045_006,固齒器
H_005_002_045_008,寶寶毯
H_005_002_045_005,口水圍兜
H_005_002_045_003,防踢睡袋
H_005_002_045_002,保暖肚圍
H_005_002_045_001,寶寶包巾
H_005_002_045_010,睡袋．寢具
H_005_002_045_011,COTEX環保尿布
H_005_002_002,居家用品
H_005_002_002_023,學步車
H_005_002_002_021,床．床墊
H_005_002_002_024,居家防護
H_005_002_002_008,嬰幼兒餐桌椅
H_005_002_002_018,寶寶成長記錄收納
H_005_002_002_001,CAR-BOY居家安全
H_005_002_002_030,安全椅套
H_005_002_048,學習餐具
H_005_002_048_005,兒童餐具
H_005_002_048_004,學習水杯
H_005_002_048_007,童趣水壺
H_005_002_048_002,幼兒食器．週邊
H_005_002_048_006,Lexington無毒矽膠餐具
H_005_002_049,哺育電器
H_005_002_049_001,清潔洗劑‧消毒鍋
H_005_002_054,嬰兒推車
H_005_002_054_009,4moms 推車
H_005_002_054_001,單向手推車
H_005_002_054_002,雙向手推車
H_005_002_054_003,推車座椅墊
H_005_002_054_008,推車週邊配件
H_005_002_054_004,推車防蚊/雨罩
H_005_002_054_005,手推車$5000以下
H_005_002_054_006,手推車$5000以上
H_005_002_054_007,手推車$10000以上
H_005_002_046,外出用品
H_005_002_046_009,背巾
H_005_002_046_015,揹帶
H_005_002_046_016,野餐墊
H_005_002_046_001,外出用品
H_005_002_046_004,防蚊用品
H_005_002_046_005,防走失用品
H_005_002_046_002,汽車安全座椅
H_005_002_046_014,美國 Ergobaby 背巾
H_005_002_046_013,拉孚兒 Naforye 揹巾
H_005_002_046_010,英國 smarTrike 史崔克
H_005_002_046_020,拋棄式圍兜
H_005_002_046_017,機車椅
H_005_020_008_016,義大利GIOTTO優惠中
C_003_026_021,金安德森
C_003_026_002,2xist
C_003_026_018,AE
C_003_026_023,PRIVATE STRUCTURE
C_003_026_004,DIESEL
C_003_026_026,DIM
C_003_026_027,DKNY
C_003_026_003,EMPORIO ARMANI
C_003_026_009,Ed hardy
C_003_026_024,GAP
C_003_026_007,HUGO BOSS
C_003_026_029,NAUTICA
C_003_026_010,OLD NAVY
C_003_026_011,POLO
C_003_026_012,PUMA
C_003_026_013,Pierre Cardin
C_003_026_022,Ralph Lauren
C_003_026_030,Tommy Hilfiger
C_003_026_017,VALENTINO
C_003_026_014,YG
L_005_025_015_004,本館熱銷
L_005_025_015_001,跑步機
L_005_025_015_005,健身車
L_005_025_015_008,交叉訓練機/飛輪
L_005_025_015_002,按摩器材
L_005_025_015_003,桌球周邊
L_005_025_015_007,其他休閒器材
L_005_025_011_001,飛輪健身車
L_005_025_011_002,跑步機
L_005_025_011_003,健身車/交叉訓練/橢圓機
L_005_025_011_004,按摩椅/SPA按摩商品
L_005_025_011_005,i.Concept系列
L_005_025_011_006,Tecnovita系列
L_005_025_001_001,飛輪/健身車
L_005_025_001_002,全能跑步機
L_005_025_001_003,健腹/美腿機
L_005_025_001_004,重量訓練
L_005_025_001_005,其他
I_001_015_013,★特惠快搜
I_001_015_009,化妝桌/椅
I_001_015_011,穿衣鏡/掛鏡/桌鏡
I_001_015_010,吊衣架
I_001_015_004,附布套衣櫥
I_001_015_003,衣櫃-簡易型
I_001_015_001,衣櫃-寬度3尺以上
I_001_015_002,衣櫃-寬度3尺以下
I_001_015_005,床頭櫃/邊櫃
I_001_015_006,斗櫃-單/二/三抽
I_001_015_008,斗櫃-其他規格
I_001_015_012,■巴塞隆納衣櫥櫃
B_002_005_055,APPETIME
B_002_005_034,Actimer
B_002_005_058,Arseprince亞瑟王子
B_002_005_068,ATOP世界時區腕錶
B_002_005_023,BAKLY
B_002_005_056,Bethoven 貝多芬
B_002_005_057,BOSSWAY寶仕威
B_002_005_053,CQAF
B_002_005_042,Canody
B_002_005_042_001,男錶
B_002_005_042_002,女錶
B_002_005_042_003,對錶
B_002_005_069,Day Love帝隆
B_002_005_079,CAT
B_002_005_045,ELIDA
B_002_005_063,Flungo
B_002_005_046,GOTO★林逸欣代言
B_002_005_026,Hanna
B_002_005_076,Ingenuity
B_002_005_048,Licorne力抗錶★張孝全代言
B_002_005_040,Luscious Girls
B_002_005_061,KELAIMIYA克萊米亞
B_002_005_047,LOVME★紀佳松代言
B_002_005_071,KATINO
B_002_005_078,KOMONO
B_002_005_011,MONO
B_002_005_024,Max Max★賴琳恩代言
B_002_005_049,MORRIS K★羅志祥代言
B_002_005_036,Mirabelle
B_002_005_039,Michel Rene
B_002_005_067,韓國正版mini
B_002_005_074,No Color
B_002_005_033,Oxalis
B_002_005_054,Omxus 歐瑟斯
B_002_005_032,Roven Dino 羅梵迪諾
B_002_005_032_001,男錶
B_002_005_032_002,女錶
B_002_005_032_003,對錶
B_002_005_043,RELAX TIME
B_002_005_050,REX
B_002_005_070,ROUND WELL 浪威
B_002_005_072,SIGMA
B_002_005_077,STAR
B_002_005_060,TIME CIRCLE
B_002_005_025,Vaness 陶瓷錶
B_002_005_031,VOGUE
B_002_005_038,WATCH-123
B_002_005_030,其他品牌
G_005_006_003,電動縫紉機
G_005_006_003_001,勝家SINGER
G_005_006_003_004,車樂美JANOME
G_005_006_003_003,精選品牌
G_005_006_001,掛燙機/熨斗
G_005_006_001_001,飛利浦Philips
G_005_006_001_002,國際牌Panasonic
G_005_006_001_004,伊萊克斯Electrolux
G_005_006_001_005,荷蘭公主PRINCESS
G_005_006_001_006,生活家HOME LIFE
G_005_006_001_003,其它品牌
G_005_006_005,除毛球機
G_005_006_006,電動擦鞋機
F_017_018_024,★本月↘限定優惠
F_017_018_114,AIBO▼9折送轉接頭
F_017_018_057,doocoo♥八折up送好禮
F_017_018_057_002,充電器/電池
F_017_018_057_001,行動電源
F_017_006_024,拉拉熊特價送鼠墊
F_017_018_112,手機電池▼限時八折起
F_017_018_085,特惠價★車用充電器
F_017_006_056,促銷價▼PROBOX電源
F_017_006_040,Adam★送愛心杯墊
F_017_018_099,85折▼PHILIPS電池
F_017_029_012,8折▼SAMPO電池
F_017_018_094,8折▼Panasonic電池
F_017_018_104,贈品★買就送獨家好禮
L_009_001_009,光陽KYMCO
L_009_001_009_002,新車
L_009_001_008,山葉 YAMAHA
L_009_001_010,三陽SYM
L_009_001_011,台鈴 SUZUKI
L_009_001_018,115CC以下
L_009_001_019,125CC機車
L_009_001_020,150CC機車
L_009_001_021,180CC以上
L_009_001_022,打檔機車
L_009_001_001,輕型機車
L_009_007,特惠活動
L_009_004,節能省碳電動車
L_009_002,機車騎士用品
L_009_003,機車用品/零件
H_006_005_017,寵物餵食餐具►
H_006_005_017_001,飼料容器．餐桌
H_006_005_017_002,自動飲水器．餵食器
H_006_005_017_003,戶外水瓶．摺疊碗
H_006_005_018,UniCharm尿布▼單片5元
H_006_005_016,DoggyMan犬貓館
H_006_005_001,玩具．抓板．跳台
H_006_005_001_002,狗》發聲玩具
H_006_005_001_001,狗》耐咬磨牙
H_006_005_001_004,狗》潔牙拉繩
H_006_005_001_003,狗》益智玩具
H_006_005_001_005,貓》抓板
H_006_005_001_006,貓》跳台
H_006_005_001_007,貓》逗貓棒
H_006_005_001_008,貓》貓隧道/其他
H_006_005_001_013,SimplyFido有機玩具
H_006_005_001_012,貓》貓草玩具
H_006_005_001_011,美國fat cat系列玩具
H_006_005_001_010,瑞典寵物益智玩具
H_006_005_001_009,美國KONG
H_006_005_003,舒眠床．墊．窩
H_006_005_003_003,睡窩
H_006_005_003_002,床墊
H_006_005_003_001,涼墊．透氣床
H_006_005_003_005,Buddy&Friends寵物功能墊
H_006_005_003_006,Beautifool寵物床
H_006_005_003_008,Bowsers寵物床
H_006_005_003_007,ZAZU寵物床
H_006_005_003_004,Microfibres 精品寵物床
H_006_005_004,屋籠．柵欄
H_006_005_005,尿布．盆．褲
H_006_005_005_002,尿布．生理褲
H_006_005_005_001,狗狗尿盆．便盆
H_006_005_019,免扛貓砂★快速到貨
H_006_005_006,貓砂．盆
H_006_005_006_001,貓》環保砂
H_006_005_006_002,貓》細砂
H_006_005_006_003,貓》粗砂
H_006_005_006_004,貓》水晶/香氛砂
H_006_005_006_005,貓》其他貓砂
H_006_005_006_006,貓》貓砂盆
H_006_005_006_007,貓》週邊配件
H_006_005_007,環境清潔
H_006_005_015,春秋竹炭の達人
H_006_005_010,antibac2K香氛清淨機
H_006_005_022,美國OrePet 寵物用品
I_007_011_005,★特惠快搜
I_007_011_001,開放式鞋櫃
I_007_011_004,鞋架
I_007_011_003,靴架
E_001_005_015,人氣精選品牌
E_001_005_015_002,倫納士
E_001_005_015_003,BUILT NY
E_001_005_004,Apple 週邊精品館
E_001_005_004_002,ipad專屬保護殼
E_001_005_004_003,ipad螢幕貼
E_001_005_004_008,ipad 精選配件
E_001_005_004_004,專屬背包與收納袋
E_001_005_004_007,ipad 充電配件
E_001_005_004_006,ipad 行動電源
E_001_005_012,其它NB週邊
H_011_006_001,小型收納
H_011_006_001_001,收納架．盒
H_011_006_001_002,收納掛鉤
H_011_006_001_004,毛巾架．桿
H_011_006_001_003,肥皂架．盒
H_011_006_001_005,牙刷架．擠牙膏器
H_011_006_018,大型收納架
H_011_006_018_002,多層置物架．櫃
H_011_006_018_001,角落置物架．櫃
H_011_006_019,浴室用品
H_011_006_019_001,漱口杯
H_011_006_019_003,洗手乳罐
H_011_006_019_004,浴簾．伸縮桿
H_011_006_019_005,馬桶座墊．套
H_011_006_019_007,其他浴室用品
H_011_006_017,衛浴收納品牌
H_011_006_017_009,3M無痕收納
H_011_006_017_008,生活采家
H_011_006_017_001,日本 LEC
H_011_006_017_003,歐奇納 OHKINA★任選
H_011_006_017_007,2easy無痕掛勾★任選
H_011_006_017_006,Tab掛勾★任選
H_011_006_017_002,潔夫人掛勾★任選
H_011_001,本月最強檔
H_011_002,廚房設備
H_011_004,衛浴設備
H_011_005,水龍頭‧蓮蓬頭
H_011_017,衛浴安全防護
H_011_016,浴巾．毛巾．浴袍
J_006_021_006,瓶裝飲品★任選490
J_006_018_011,飲料整箱免搬
J_006_018_002,紅茶。綠茶。烏龍茶
J_006_018_003,奶茶。咖啡。豆奶
J_006_018_009,運動。機能飲料
J_006_018_001,複方飲。黑木耳露
J_006_018_010,氣泡。碳酸飲料
J_006_018_015,【愛之味/愛健】
J_006_018_014,【可口可樂/爽健美茶】
J_006_018_016,【Biotta】有機果汁
J_006_018_017,【囍瑞BIOES】100%原汁
E_005_015_011,Booq 電腦包
E_005_015_017,BUILT NY 數位包
E_005_015_034,DyDash筆電公事包
E_005_015_026,deya 提呀
E_005_015_025,ELECOM
E_005_015_023,Genius
E_005_015_031,G-FORM美國耐摔包
E_005_015_019,iSkin
E_005_015_035,Incase
E_005_015_012,la essence倫納士
E_005_015_033,Promate 專業商務包
E_005_015_027,SOYU羊毛氈包
E_005_015_029,SOLIS
E_005_015_021,SUMDEX筆電包
E_005_015_016,Tucano 時尚電腦包
E_005_015_015,VAX 唯雅仕
E_005_015_001,7-9吋NB適用
E_005_015_002,10-11吋NB適用
E_005_015_003,12-13吋NB適用
E_005_015_004,14吋NB適用
E_005_015_010,15吋NB適用
E_005_015_005,17吋(含)以上NB適用
E_005_015_006,NB 內袋 / 防震包
E_005_015_007,經典後背包
E_005_015_008,商務拉捍包
E_005_015_009,側背手提款
E_005_015_013,OGIO 美國潮流包
E_005_047,促銷強打活動
E_005_037,★館長推薦★
E_005_019,快速到貨★速達
E_005_001,Apple 週邊精品館
E_005_011,平板電腦週邊精品館
E_005_002,行動電源
E_005_003,筆電電池/變壓器
E_005_005,筆電散熱墊/架
E_005_016,保護套、殼品牌
E_005_006,NB保護週邊
E_005_007,筆電清潔保養
E_005_010,其它NB週邊
E_005_008,NB 電腦桌
E_005_004,3M資訊安全防窺片
H_009_003_001_008,女衣褲．配件
H_009_003_001_009,童衣褲．配件
H_009_003_001_007,男衣褲．配件
H_009_003_001_003,童內衣褲
H_009_003_001_002,女內衣褲
H_009_003_001_001,男內衣褲
H_009_003_001_004,男襪
H_009_003_001_005,女襪
H_009_003_001_006,童襪
H_009_003_003,家用織品
H_009_003_003_001,織品
H_009_003_003_002,寢具
H_009_003_004,收納層櫃
H_009_003_005,內外拖鞋
H_009_003_005_003,童拖鞋
H_009_003_005_002,女拖鞋
H_009_003_005_001,男拖鞋
G_011_016_001,飛利浦PHILIPS
G_011_016_001_007,潔面刷頭‧修容刀頭
G_011_016_002,德國百靈BRAUN
G_011_016_003,國際牌Panasonic
G_011_016_015,日本IZUMI
G_011_016_004,聲寶SAMPO
G_011_016_006,歌林Kolin
G_011_016_005,三洋SANYO
G_011_016_008,日象zoueshoai
G_011_016_010,其他品牌
G_011_016_013,電鬍刀刀頭刀網
G_011_016_014,電動鼻毛刀
J_002_009,起士/乳酪　
J_002_009_001,起士條/乳酪條
J_002_009_006,乳酪塔/起士派
J_002_018,★本週特惠星★
J_002_019,黑貓探險隊★嚴選
J_002_004,糖果/餅乾/巧克力
J_002_015,手工特色蛋糕
J_002_008,長條蛋糕/奶凍捲
J_002_001,圓蛋糕/慶生蛋糕
J_002_013,蛋糕/烘培/餅乾任選區
J_002_017,吐司/麵包/包子
J_002_002,泡芙/銅鑼燒/麻糬
J_002_003,布丁奶酪/果凍甜湯
J_002_007,冰品/冰淇淋
J_002_014,零嘴布丁冰品任選
J_002_010,烘焙品牌總覽
L_009_007_005,SYM
L_009_007_002,kymco
L_010_006_018,PAPAGO
L_008_016_019,American Tourister 美國旅行者
L_010_005_001,GARMIN
L_010_005_002,Mio
L_008_016_047,Allez Voyager 奧莉薇閣
L_009_003_019,KYMCO原廠精品
L_009_003_019_001,KYMCO機車精品
L_009_003_019_002,KYMCO原廠龍頭周邊
L_009_003_019_003,KYMCO座墊/後靠墊
L_009_003_019_004,KYMCO排氣管
L_009_003_019_005,KYMCO防滑踏板組
L_009_003_019_006,KYMCO避震器/碟盤
L_009_003_019_007,KYMCO馬鞍包/行李箱
L_009_003_019_008,many改裝精品
L_009_003_019_011,KYMCO原廠油品
L_009_003_021,SYM原廠精品
L_009_003_021_001,SYM機車精品
L_009_003_021_002,SYM龍頭週邊
L_009_003_021_003,SYM防滑踏板
L_009_003_022,HEBE 機車精品
L_009_003_023,百貨/油品任選專區
L_009_003_027,機車鎖優惠組合
L_009_003_025,東興 輪胎機車鎖
L_009_003_024,XENA機車鎖
L_009_003_029,KO 機車精品
L_009_003_011,大鎖
L_009_003_026,坐墊套/防塵套
L_009_003_018,其他用品零件
L_009_003_031,美國Leatherman 工具鉗
L_009_003_028,機車用行車記錄器
L_009_003_030,行車紀錄器配件
L_009_003_017,機車電池/充電器
L_009_003_012,油品
L_009_003_008,燈泡
L_011_004_001,住宿券
L_011_004_001_001,北部
L_011_004_001_002,中部
L_011_004_001_003,南部
L_011_004_001_004,東部
L_011_004_001_005,離島
L_011_004_002,摩鐵休憩券
L_011_015,★ 防災．防颱專區★
L_011_014,★泳裝/配件★
L_011_008,★運動/排汗用品★
L_011_010,★太陽眼鏡★
L_011_001,★消暑．防曬用品★
L_011_002,★戶外運動用品★
L_011_011,★窈窕/健身專區★
L_011_003,★汽車百貨★
L_011_005,★機車★
A_009_018,歐美熱門品牌
F_010_007_008,e-kit 逸奇
F_010_007_007,Enzatec
F_010_007_005,JBL
F_010_007_004,ROYQUEEN 朗琴
F_010_007_003,VOUGE TECH
A_009_018_001,Aderma艾芙美
A_009_018_030,Avene雅漾
A_009_018_062,西班牙Babaria
A_009_018_004,Biopeutic葆療美
A_009_018_003,BiONEO德國百妮
A_009_018_022,BIODERMA 貝德瑪
A_009_018_063,Bielenda 碧爾蘭達
A_009_018_064,Bio-Oil 百洛
A_009_018_006,Cetaphil舒特膚
A_009_018_066,喬沛詩Chap-EX
A_009_018_039,Dermisa 抗皺無暇
A_009_018_032,Dr.Eris
A_009_018_008,Ducray護蕾
A_009_018_050,Eclos蘋果抗老
A_009_018_034,EltaMD 創新專業防曬
A_009_018_031,Elancyl 伊蘭纖姿
A_009_018_041,EUBOS 德國儀寶
A_009_018_009,EXFOLIAC 愛仕法儷雅
A_009_018_060,Freeman 面膜
A_009_018_069,FROIKA芙立康
A_009_018_010,gloMinerals葛羅氏
A_009_018_045,GLYDERM果蕾
A_009_018_023,jaloux
A_009_018_037,JBMD 靚倍爾
A_009_018_044,KINERASE凱娜詩
A_009_018_056,KLORANE 蔻蘿蘭
A_009_018_065,LIERAC黎瑞
A_009_018_033,LOVEISDERMA 愛斯德瑪
A_009_018_026,LRP 理膚寶水
A_009_018_052,Mustela慕之恬廊
A_009_018_070,澳洲 Healthy Care
A_009_018_019,NeoStrara果酸專家
A_009_018_029,NEO-TEC
A_009_018_014,NOV娜芙
A_009_018_042,Noreva歐德瑪
A_009_018_021,NUXE 黎可詩
A_009_018_046,PAPULEX百倍麗
A_009_018_036,PHYTO-C 歐瑪左旋C
A_009_018_071,PHYSIOGEL 潔美淨
A_009_018_067,Salcura伊多娜
A_009_018_017,SeSDERMA賽斯黛瑪
A_009_018_053,Seba med 施巴
A_009_018_016,SOUVENIR斯凡妮
A_009_018_058,TRANSINO傳皙娜
A_009_018_059,Vita-K 淡斑無痕
A_009_018_035,杜克
A_009_018_047,荷麗美加
A_009_018_040,其它熱銷
A_009_018_072,KINERASE凱娜詩
A_009_056,單品799領券折150
A_009_059,館長推薦搶便宜
A_009_048,TOP 熱門品牌
A_009_038,專業醫美品牌
A_009_062,藥妝保養品牌
A_009_060,日韓藥妝品牌
A_009_063,保險套/潤滑液品牌
A_009_045,私密保養品牌
A_009_041,快速到貨專區
A_009_037,依功能快搜▼
E_016_008_002,[Brother]噴墨複合機
E_016_008_006,[Brother]大墨匣複合機
E_016_008_004,[Brother]黑白雷射
E_016_008_003,[Brother]標籤機
E_016_014,館長強打活動
E_016_002,HP 惠普
E_016_001,EPSON 愛普生
E_016_004,Fuji Xerox 富士全錄
E_016_021,其他品牌印表機
E_016_010,隨身印系列
E_016_023,3D印表機
E_016_006,掃瞄器
E_016_019,點陣式印表機
E_016_020,POS系統專區
F_024_012_001,JVC / 傑偉世
F_024_012_002,CANON / 佳能
F_024_012_003,CASIO / 卡西歐
F_024_012_004,FUJI / 富士
F_024_012_005,KODAK / Premier
F_024_012_007,Olympus / 奧林巴斯
F_024_012_008,Panasonic / 松下
F_024_012_009,PENTAX / 賓得士
F_024_012_010,RICOH / 理光
F_024_012_011,SAMSUNG / 三星
F_024_012_012,SONY / 新力
F_024_012_015,攝影機鋰電
F_024_012_016,鋰電池充電器組
F_024_012_017,其他相機鋰電池
E_013_009_002,有線滑鼠
E_013_009_006,鍵盤專區
E_013_009_003,鍵盤滑鼠組
E_013_009_005,電競G系列專區
E_013_009_004,鼠墊/簡報器
E_015_017_032,羅技/UE耳機喇叭
B_013_015_001,限量限定款
B_013_015_002,短帶
B_013_015_003,長帶
B_013_015_005,全皮革系列
B_013_015_007,皮夾 / 小型配件
H_009_008_001,包麵
H_009_008_002,碗麵．桶麵．杯麵
H_009_008_013,整箱泡麵
H_009_008_003,快煮麵．麵線．冬粉
H_009_008_004,速食湯．粥
H_009_008_005,調理包．即食
H_009_008_009,食用油
H_009_008_016,醬菜．麵筋
H_009_008_019,筍絲．泡菜
H_009_008_017,肉燥．肉醬
H_009_008_018,水產罐頭
H_009_008_008,罐頭．濃湯塊．肉鬆
H_009_008_010,調味醬．調味料
H_009_008_015,味精‧鮮味粉‧調味粉
H_009_008_014,麵粉．沾粉．布丁粉
H_009_008_012,保健食品
D_004_021_001,肩背 / 斜背包
D_004_021_008,水桶 / 波士頓包
D_004_021_002,手提包 / 托特包
D_004_021_005,後背包
D_004_021_003,皮夾 / 手拿包
D_004_021_006,電腦/公事包
D_004_021_009,旅行袋 / 收納包
D_004_021_007,腰包 / 相機包 / 其他
J_002_006_046,館長推薦★超值精選
J_002_006_018,媒體報導大賞
J_002_006_040,綠豆黃/綠豆糕
J_002_006_001,鳳梨酥/果酥
J_002_006_057,綠豆椪/各式酥皮
J_002_006_060,台廣式月餅
J_002_006_042,蛋黃酥
J_002_006_041,沁涼冰皮/冰餅
J_002_006_002,太陽餅/老婆餅/牛舌餅
J_002_006_061,其他特色酥餅
J_002_006_004,麻糬/麻荖
J_002_006_056,傳統新創意
J_002_006_036,綜合月餅禮盒
J_002_006_076,精選超值組合
J_002_006_067,團購撿便宜
J_002_006_055,年節伴手禮盒
J_002_006_010,【黑貓探險隊】
J_002_006_054,【香港★奇華】
J_002_006_079,【良品嚴選】老店推薦
J_002_006_075,【宜蘭★美雅】牛舌餅
J_002_006_069,【基隆★連珍】
J_002_006_025,【新北★手信坊】
J_002_006_033,【新店★周老爸】
J_002_006_064,【喜憨兒】
J_002_006_082,【台北★Cold Stone】
J_002_006_012,【台北★紅豆食府】
J_002_006_015,【台北★元祖】
J_002_006_039,【南門市場★合興】
J_002_006_073,【台北★滋養製果】
J_002_006_068,【樹林★振頤軒】
J_002_006_008,【台中★一福堂】
J_002_006_021,【台中★通豪大飯店】
J_002_006_029,【台中★雪花齋】
J_002_006_084,【台中★太陽堂老店】
J_002_006_030,【埔里★菩菓子】
J_002_006_032,【鹿港名店真梨家】
J_002_006_050,【嘉義★老耿】
J_002_006_074,【嘉義★聖保羅】
J_002_006_083,【嘉義★達芬妮】
J_002_006_063,【高雄★品屋蛋糕】
J_002_006_044,【台東★福芳烘焙坊】
J_002_006_062,【皇覺】
J_002_006_049,【信裕軒】手做荖
L_009_007_009,超划算現折、現省專區
L_009_007_001,YAMAHA送ASUS手機平板
L_009_007_014,YAMAHA 最高現折$3500
L_009_007_003,SUZUKI 最高現折$6000
L_009_007_010,機車百貨特價專區
I_007_008_005,★特惠快搜
I_007_008_001,可堆疊
I_007_008_003,可摺疊
I_007_008_004,巧拼系列
H_002_020_003,除濕機．除濕盒
H_002_020_004,除濕袋
H_002_020_026,GW水玻璃除濕機
H_002_020_020,口罩．活性碳口罩
H_002_020_005,環保購物袋 ．購物車
H_002_020_021,►e鞋院室內拖鞋
H_002_020_021_001,時尚皮質室內拖
H_002_020_021_002,藺草.亞麻.竹底室內拖
H_002_020_021_003,冬季保暖室內拖
H_002_020_021_004,輕量防水室內拖
H_002_020_021_005,兒童室內拖鞋
H_002_020_021_006,園丁鞋．花園鞋
H_002_020_024,室內拖鞋任選2入
H_002_020_024_002,isafe拖鞋任選2入
H_002_020_024_001,Hello Kitty靜音拖鞋2入
H_002_020_025,室內拖鞋任選3入
H_002_020_025_002,Hello Kitty靜音拖鞋3入
H_002_020_025_001,isafe拖鞋任選3入
H_002_020_006,各式室內拖鞋
H_002_020_033,日本Smile kids創意百貨
H_002_020_034,精密． 料理電子秤
H_002_020_007,燙衣板．裁縫用品
H_002_020_016,日常用品►
H_002_020_016_004,濕度˙溫度計
H_002_020_016_003,各式信箱
H_002_020_016_001,延長線
H_002_020_016_002,其他用品
H_002_020_016_005,儲金筒．撲滿
H_002_020_012,Hello Kitty專賣店►
H_002_020_012_001,餐廚用品
H_002_020_012_002,生活用品
H_002_020_012_004,鬧鐘．壁鐘
H_002_020_012_007,水晶印鑑
H_002_020_012_010,按摩小物
H_002_020_012_009,多功能手電筒
H_002_020_017,春秋竹炭の達人►
H_002_020_017_002,竹醋液．清潔
H_002_020_017_001,竹炭包．竹炭片
H_002_020_017_005,竹炭紡品．寢具
H_002_020_017_006,保健護具．配飾
H_002_020_017_004,裝潢．土壤專用
H_002_020_017_003,寵物．水族專用
H_002_020_009,金爐．拜拜用品
H_002_020_010,【任選】祭祀拜拜用品
H_002_020_013,【任選】簡單生活超值選
H_002_020_002,【任選】蛋糕毛巾
H_002_020_035,Vigar維宜卡任選▼490
H_002_020_029,Unique Art 有藝氏
F_014_012_003,週邊配件
F_014_012_007,Wii U 遊戲片
F_014_032,今日最強檔
F_014_017,館長推薦
F_014_030,促銷活動
F_014_025,PS4
F_014_015,PS Vita
F_014_001,PS3
F_014_031,電玩授權專區
F_014_027,超商取貨專區
F_014_033,XBOX ONE
F_014_011,XBOX 360
F_014_014,3DS
F_014_023,HORI 原裝周邊
F_014_024,航海王模型
F_014_026,鋼彈模型
F_014_028,紙箱戰機
F_014_035,田宮四驅車模型
F_014_040,妖怪手錶
F_014_038,其他模型
F_014_022,快速到貨專區
F_014_018,NDS
F_014_013,PSP
F_014_019,其他電玩
B_002_039_001,G-SHOCK★五月天代言
B_002_039_002,Baby-G★少女時代
B_002_039_005,SHEEN★桂綸鎂代言
B_002_039_010,OCEANUS★趙又廷代言
B_002_039_003,EDIFICE
B_002_039_004,PROTREK 登山錶
B_002_039_006,電波計時
B_002_039_007,數位電子錶
B_002_039_009,指針錶
B_002_039_008,雙顯錶
G_011_014_001,ANDZEN
G_011_014_008,Warm
G_011_014_012,Luminara 盧米娜拉
G_011_014_003,精選品牌
F_017_006_094,[HOT] 86hero
F_017_006_022,[HOT] doocoo
F_017_006_088,[HOT]Bone
F_017_006_072,[HOT] PHILIPS 飛利浦
F_017_006_067,[HOT] cheero 紙箱人/阿愣
F_017_006_087,[HOT] Line Friends
F_017_006_042,[HOT] E-SUPPLY
F_017_006_061,[HOT] POWER SUPPLY
F_017_006_038,[HOT] Hello Kitty
F_017_006_086,[新品]InfoThink 訊想
F_017_006_052,ADATA 威剛
F_017_006_073,APOLLO
F_017_006_041,Amacrox
F_017_006_084,Innergie 台達電源
F_017_006_083,ATake
F_017_006_089,aibo
F_017_006_031,Buffalo 巴比祿
F_017_006_039,CARD
F_017_006_039_001,行動電源
F_017_006_039_002,周邊配件
F_017_006_048,Cyber Power
F_017_006_070,COI+
F_017_006_093,Coolive
F_017_006_034,KINYO
F_017_006_045,Dr.battery 電池王
F_017_006_021,Energizer 勁量
F_017_006_057,enco
F_017_006_049,Esense
F_017_006_051,ELECOM
F_017_006_028,Fonestuff 瘋金剛
F_017_006_047,Gigabyte 技嘉
F_017_006_046,HANG
F_017_006_059,IWO 艾沃/emie
F_017_006_033,i-Gear 艾吉爾
F_017_006_063,iBRIDGE
F_017_006_066,innfact 橘色閃電
F_017_006_032,Kamera/Neo Power
F_017_006_054,Keep Ahead 領導者
F_017_006_035,LAPO
F_017_006_058,Lomui 樂木/TORRAS
F_017_006_091,LUXA2
F_017_006_082,moshi
F_017_006_044,Mipow
F_017_006_068,MYDC
F_017_006_090,MEGA KING
F_017_006_092,MAXIM
F_017_006_036,Neo Power
F_017_006_078,NuSLIM
F_017_006_065,NORMI
F_017_006_055,POLYBATT
F_017_006_037,QLA
F_017_006_012,SANYO 三洋
F_017_006_050,TONE YIH
F_017_006_076,THUMBOX
F_017_006_060,Urban Utility
F_017_006_023,VXTRA 飛創
F_017_006_075,Xiaomi 小米
F_017_006_085,YES (台灣製)
F_017_006_074,無敵
F_017_006_043,七電
F_017_006_079,ONPRO
